,lat,lon,temp,humidity,cloudiness,wind,temp_max
317,27.98,-114.06,288.88,64,65,7.02,288.88
318,-43.3,-65.1,286.83,63,66,5.31,286.83
319,-0.6,73.08,301.96,67,52,4.19,301.96
320,69.49,88.4,262.15,92,40,6.0,262.15
321,-9.8,-139.03,301.32,78,33,6.88,301.32
322,63.73,8.83,273.97,86,75,12.9,274.15
323,10.37,10.73,298.73,17,11,0.63,298.73
324,58.94,69.13,274.96,93,99,5.1,274.96
325,-9.97,-67.81,297.15,94,20,1.0,297.15
326,-23.65,-70.4,289.15,87,40,3.6,289.15
327,38.52,-28.7,287.15,71,40,4.1,287.15
328,-33.02,27.91,292.15,59,20,5.7,292.15
329,32.67,-17.1,287.83,72,40,1.5,288.15
330,37.1,-113.58,282.23,43,90,2.6,285.37
331,66.77,123.37,259.47,93,97,2.71,259.47
332,22.08,-159.32,296.44,78,75,8.2,297.15
333,29.58,-9.5,283.65,74,77,0.59,283.65
334,67.54,133.38,262.96,90,100,3.21,262.96
335,68.75,161.3,270.33,92,70,8.13,270.33
336,32.3,-9.24,285.85,76,24,2.59,285.85
337,-5.68,-43.09,294.95,92,45,0.63,294.95
338,66.71,27.43,265.83,89,39,4.14,265.83
339,-5.38,39.7,301.1,76,82,2.93,301.1
340,-15.77,128.73,312.15,14,2,3.6,312.15
341,9.6,8.38,297.17,47,25,1.23,297.17
342,-35.33,-72.42,286.88,82,29,3.66,286.88
343,-8.7,-37.67,294.92,84,49,1.8,294.92
344,4.93,-52.33,299.15,100,97,2.6,299.15
345,4.42,-7.35,298.5,88,53,1.13,298.5
346,-22.09,-70.2,293.78,55,36,1.8,293.78
347,-21.7,-57.88,297.16,83,1,1.48,297.16
348,-22.67,167.48,297.63,74,95,9.07,297.63
349,-28.65,153.62,298.11,73,13,4.6,299.15
350,-17.88,36.89,297.15,94,20,2.6,297.15
351,36.17,-115.14,286.23,24,20,2.1,288.15
352,-33.59,26.89,291.48,77,84,3.13,291.48
353,-3.37,135.48,303.92,65,91,3.36,303.92
354,63.75,-68.51,253.63,70,5,5.7,254.15
355,37.46,-122.43,282.82,93,90,2.6,284.82
356,57.81,42.24,280.53,80,100,3.21,280.53
357,46.78,-92.11,273.8,85,90,6.7,274.82
358,28.66,-17.92,289.15,63,7,3.1,289.15
